id,code,name,aliquot,month_ucim,year_ucim
concept1,1000,Abasto,6,1170,14040
concept2,1001,Bodegas y pulperias,6,1170,14040
concept3,1002,Detal de carbón,4,1170,14040
concept4,1003,Detal de alimentos para animales,6,1170,14040
concept5,1004,"Detal de Bombones,  galletería,  caramelos y confiterías",6,1170,14040
concept6,1005,Detal de carnes con frigorificos,6,1170,14040
concept7,1006,"Detal de granos cereales, confites, aceitunas y similares",6,1170,14040
concept8,1007,"detal de frutas, verduras y hortalizas ",6,1170,14040
concept9,1008,Detal de hielo,4,1170,14040
concept10,1009,Detal de pescados y mariscos,6,1170,14040
concept11,1010,Detal de productos alimenticios naturistas,6,1170,14040
concept12,1011,"Detal de otros productos alimenticios, café, cacao, copra, otros similares y bebidas no alcohólicas no especificadas",6,1170,14040
concept13,1012,"Detal de lácteos, quesos, afines",6,1170,14040
concept14,1013,"Detal de carnes, charcutería, embutidos, derivados de la carne de res y porcina, aves de corral y postura de aves exclusivamente",6,1170,14040
concept15,1014,"Panaderías, pastelería, bombonerías",6,1170,14040
concept16,1014.1,Panaderías,6,1170,14040
concept17,1015,"Supermercados y automercados (excepto cosméticos, bebidas alcohólicas, electrodomésticos, panaderia, fuente de soda y similares)",6,1170,14040
concept18,1016,"Supermercados y automercados con tamaño superior a 500mts 2 incluye cosméticos, detergentes, alimentos para animales, quincallería, perfumería y similares",6,1340,16080
concept19,1017,"Hipermercados y automercados con tamaño superior a 2000 mts 2 incluye cosméticos, detergentes, alimentos para animales, quincallería, perfumería, bebidas alcohólicas, electrodomésticos, panadería",6,1670,20040
concept20,1018,Detal de bebidas no alcohólicas,7,1170,14040
concept21,1019,Detal de víveres,6,1340,16080
concept22,1020,"Detal de alimentos de consumo masivo, otros alimentos no especificados",7,1670,20040
concept23,1030,Mayor de aceites y grasas comestibles (refinados),7,1170,14040
concept24,1031,Mayor de alimentos para animales,7,1170,14040
concept25,1032,Mayor de aves beneficiadas,7,1170,14040
concept26,1033,Mayor de bebidas no alcohólicas,7,1170,14040
concept27,1034,"Mayor de bombones, caramelos, confitería",7,1170,14040
concept28,1035,"Mayor de granos, cereales, confites, aceitunas y similares",7,1170,14040
concept29,1036,"Mayor de frutas, verduras y hortalizas",7,1170,14040
concept30,1037,Mayor de productos lácteos,7,1170,14040
concept31,1038,Mayor de pescados y mariscos,7,1170,14040
concept32,1039,"Mayor de productos de molinería, carbón",7,1170,14040
concept33,1040,Mayor de alimentos naturistas,7,1170,14040
concept34,1041,"Mayor de carnes de ganado vacuno, porcino, caprino y otras carnes",7,1170,14040
concept35,1042,Mayor de hielo,8,1170,14040
concept36,1043,Mayor de embutidos charcutería y similares,7,1170,14040
concept37,1044,"Agentes, distribuidores ambulancias, ruteros, franquiciados, mayor de alimentos y bebidas no alcohólicas, en unidades automotoras en envases sellados.",7,1340,16080
concept38,1045,Mayor de productos alimenticios y bebidas no alcohólicas no especificados,11,1340,16080
concept39,1046,"Distribuidoras de alimentos de consumo masivo, otros alimentos no especificados",10,1670,20040
concept40,1047,Depósito y almacenaje de productos alimenticios en general,10,1670,20040
concept41,1060,"Detal de artículos de ropa para damas, caballeros y niños",8,1010,12120
concept42,1061,"Detal de carteras, maletines, neceseres y otros artículos de cuero o sucedáneos de cuero",8,1010,12120
concept43,1062,"Detal de lencerías, almohadas y otros no especificados",8,1010,12120
concept44,1063,"Detal de telas, mercería y bisutería",8,1010,12120
concept45,1064,Materiales para zapatería y talabarterías,8,1010,12120
concept46,1065,Sastrería,10.5,1010,12120
concept47,1066,Zapatería (exclusivamente),8,1010,12120
concept48,1067,Otros productos relacionados similares no especificados,10,1010,12120
concept49,1068,Mercería y bisutería,8,1010,12120
concept50,1069,"Distribuidores y/o mayoristas de textiles, prendas de vestir, calzados, lencería y similares",5,1340,16080
concept51,1070,Grandes tiendas por departamentos,8,1670,20040
concept52,1080,Detal de detergentes y artículos de limpieza,10,1170,14040
concept53,1081,Detal de productos químicos y farmacéuticos para uso veterinario,10,1170,14040
concept54,1082,Droguerías (mayor),10,1670,20040
concept55,1083,"Farmacias, boticas y expendios de medicamentos únicamente",10,1170,14040
concept56,1084,Detal de productos y suplementos famacéuticos naturales o naturistas,10,1170,14040
concept57,1085,"Grandes farmacias, expendios de medicamentos, venta de artículos y mercancías secas, alimentos, no relacionados con su actividad principal",10,1340,16080
concept58,1086,"Detal de cosméticos, perfumerías, artículos de tocador de fabricación nacional y de uso personal",12,1340,16080
concept59,1087,"Perfumería detal de cosméticos artículos de tocador, preparados afines importados",30,1340,16080
concept60,1088,Detal de material médico quirúrgico,7,1170,14040
concept61,1089,Detal de productos químicos para uso odontológico,7,1170,14040
concept62,1090,"Detal de colorantes, resinas, descartables y otros",7,1170,14040
concept63,1091,"Detal de artículos de peluquería, tintes y similares (excepto cosméticos).",10,1170,14040
concept64,1092,Mayor de productos farmacéuticos y medicamentos,7,1170,14040
concept65,1093,Mayor de productos y suplementos farmacéuticos y medicamentos naturales y naturistas,7,1170,14040
concept66,1094,"Mayor de productos químicos, farmacéuticos de uso veterinario",7,1170,14040
concept67,1095,Mayor de productos químicos industriales básicos,7,1170,14040
concept68,1096,Mayor de detergentes y artículos de limpieza,7,1170,14040
concept69,1097,"Mayor de productos para uso agropecuario (abonos, semillas y plaguicidas)",7,1170,14040
concept70,1098,Mayor de material médico quirúrgico,10,1170,14040
concept71,1099,"Distribuidoras y/o mayoristas de drogas, productos químicos, farmacéuticos y similares no especificados.",10,1170,14040
concept72,1100,Otros productos químicos no medicinales no clasificados en ninguna parte,10,1170,14040
concept73,1101,Detal de fuegos artificiales y pirotécnicos,10.5,3340,40080
concept74,1102,Mayor de fuegos Artificiales y pirotécnicos,10,3340,40080
concept75,1103,Depósito y almacenaje de productos farmacéuticos y similares en general,10,1670,20040
concept76,1110,Artefactos y artículos eléctricos para el hogar,10,1010,12120
concept77,1111,Cerrajerías,10,1010,12120
concept78,1112,Cocinas y equipos para cocina,10,1010,12120
concept79,1113,Colchonerías,10,1010,12120
concept80,1114,"Detal de persianas, alfombras y tapicerías",10,1010,12120
concept81,1115,"Ferreterías, pinturas, lacas y barnices",8,1010,12120
concept82,1116,Materiales eléctricos,8,1010,12120
concept83,1117,Mueblerías,10,1010,12120
concept84,1118,Quincallas,6,1010,12120
concept85,1119,Detal de lámparas,10,1010,12120
concept86,1120,Detal de otros muebles para el hogar,8,1010,12120
concept87,1121,Detal de repuestos para artículos eléctricos y no eléctricos de uso doméstico,8,1010,12120
concept88,1122,"Detal de equipos de ventilación y aires acondicionados, refrigeración y afines",8,1010,12120
concept89,1123,"Otros artículos de uso doméstico, muebles y equipos para oficinas y clínicas no especificas en otra parte",10,1010,12120
concept90,1124,"Detal de muebles y equipos para oficinas, clínicas y hospitales",10,1010,12120
concept91,1125,Proveedores de artículos de ferretería,10,1010,12120
concept92,1126,Mayor de pinturas lacas y barnices,10,1010,12120
concept93,1127,Mayor de artículos y materiales eléctricos,10,1010,12120
concept94,1128,Mayor de artefactos de uso doméstico,10,1010,12120
concept95,1129,"Mayor de repuesto y accesorios para artefactos domésticos, industriales y comerciales",10,1010,12120
concept96,1130,Mayor de artículos y accesorios de cocina,10,1010,12120
concept97,1131,Mayor de muebles y sus accesorios para el hogar industria y comercio,10,1010,12120
concept98,1132,"Mayor de colchones, cortinas, alfombras, tabiques y similares",10,1010,12120
concept99,1133,Mayor de lámparas,10,1010,12120
concept100,1134,"Mayor de muebles y sus accesorios, para el hogar oficinas, clínicas y otros no especificados.",10,1010,12120
concept101,1135,"Módulos, carretas o similares ventas de artículos varios",10,1010,12120
concept102,1136,Materiales y artículos para talleres de latoneria y pintura automotriz,10,1010,12120
concept103,1137,"Artículos de plástico (sillas, mesas, entre otros).",10,1010,12120
concept104,1138,"Material de empaque (cartón, plásticos, papel, anime y otros)",10,1010,12120
concept105,1139,Venta de equipos electrónicos,10,1010,12120
concept106,1140,"Distribuidores y/o mayoristas de ferreterías, quincallería, arts, eléctricos de uso domésticos no especificados, muebles y equipos para oficinas y clínicas.",10,1010,12120
concept107,1150,Marmolerías,10,1170,14040
concept108,1151,"Detal de materiales de construcción, incluye cabillas, cementos, bloques, cerámicas, sanitarios y similares nacionales e importados",10,1170,14040
concept109,1152,"Bloques, cerámicas, sanitarios y similares nacionales e importados",10,1170,14040
concept110,1153,Venta de madera,10,1170,14040
concept111,1154,"Vidrios, espejos y conexos",10,1170,14040
concept112,1155,Otros materiales de construcción no especificados,10,1170,14040
concept113,1156,"Mayor de madera aserrada, cepillada, terciada y contra enchapada",10,1170,14040
concept114,1157,Mayor de materiales de construcción,10,1170,14040
concept115,1158,Mayor de madera aserrada y otros materiales de construcción no especificados,10,1170,14040
concept116,1159,Marqueterías,10,1170,14040
concept117,1160,Mayor de vidrios espejos y conexos,10,1170,14040
concept118,1161,"Muebles para cocinas, closet de madera, instalación con o sin accesorios.",10,1170,14040
concept119,1162,Distribuidores y/o mayoristas de materiales de construcción no especificados.,10,1170,14040
concept120,1170,"Artículos de artesanías típicas, folclóricas y similares",10,1010,12120
concept121,1171,Artículos de escritorio,10,1010,12120
concept122,1172,Artículos de fotografía y estudios fotográficos,10,1010,12120
concept123,1173,Artículos deportivos,10,1010,12120
concept124,1174,Artículos e instrumentos de cinematografía,10,1010,12120
concept125,1175,Detal de artículos religiosos,10,1010,12120
concept126,1176,"Detal de cuchillería, vajillas y otros artículos de vidrio, loza o porcelana",10,1010,12120
concept127,1177,"Juguetaría, piñatería y similares",10,1010,12120
